新闻Nwes,#genre#
东森电影,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMeyA6XYa4ouz4vd_UK4BPIs/ts
东森戏剧,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMf6rym0VME4rVFFvrhRqr0M/ts
东森洋片,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQ7RhdVKbO8PkjlYaHwgHEw/ts
民视影剧,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMfv_AXZcjRu__ZcS22mf9MA/ts
美亚电影,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMeDQ3UUzBXRce7Q4sPxFA-I/ts
HBO,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMRwjnfw7YEqBk1VrzRpBV8c/ts
HBO Signature,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQ8iMqbY_LVqcdNqT0MWMiw/ts
HBO Family,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMeblAgIQFm7aVgKMvA9H8nQ/ts
HBO Hits,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMVPZrZ3va9OpPaSZACGA1Ic/ts
Cinemax,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbsWuMefL7WAHMF6iqZsQ30/ts
AXN,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQn4zYrc_W-3MobTXJRk-GU/ts
CI 罪案侦查频道,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMRGgIWuZJt_HQrnZBCprcXM/ts
CATCHPLAY电影台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbOcoETIkG7UZOZEJQrKD_s/ts
影迷数位电影台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbNqCGVU72LuoX8Zt9aBojg/ts
影迷数位纪实,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMet3HhBOSG8Oq3kw6EqNUV4/ts
龙祥电影,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMTzinYC8qHYi9P_eHWGb6Jo/ts
好莱坞电影,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMfhADbv4pvEfKUfXebFqADc/ts
华纳电视 warner,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdTFZYm3H1FwnEAOoi_zrpg/ts
My Cinema Europe,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMRvr4zr1Y9vDC0P7TWAKj3w/ts
Cinema World,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMeVlV-CrH_oKQpJrxjiv3Ro/ts
AMC最爱电影,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdjkH-y9ULk0-jp053eervk/ts
Astro 天映频道,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbMEgpOHq3CyNPSmXHo_elw/ts
Astro 天映频道(粤),http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMULTEiBGWJmGf3qr1nwOgRY/ts
Astro TVB 经典,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdsvOGbl0MgpdssnH9RxvFc/ts
Astro 天映经典 CCM,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdEcPIGxot-Ky-Y2-Ind15U/ts
天映频道(印尼）,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMS5h6Is10vESAV-LekzPIog/ts
MY BOO,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMUabMqFyGJ_mgvJpvSkoeqc/ts
知识Edu,#genre#
亚洲美食,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMUxZ5nVCDxfldVK5OKTdFYQ/ts
动物星球,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQB4wEFNjMz1jerbhJ0klWw/ts
亚洲旅游,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMR5RcFAdGXdJr_qWOY-Un-4/ts
BBC Lifestyle,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQwo3bfa9PDDZZPrVhknS7A/ts
探索亚洲,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMc8nMf4-SRpK3pOszSI_jr4/ts
探索科学,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMU_kUKCkch9XoWzwaKJymVM/ts
探索频道,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMeJQdBus0kMYJ_lAASas-cQ/ts
Discovery DMAX,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbYgN8DQcjFCTSe40i24AKc/ts
美食星球,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbWkCMOSlYVS3X0VESrB7jQ/ts
历史频道 1,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMa3YItOsR7JXM-HJ8AZhUbQ/ts
Love Nature,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQaM5X5VW7XnOPwAsrQGsIQ/ts
BBC Earth,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdvexn_3W9SLE4ZrctriB_Y/ts
Discovery EVE,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdiS9yCB63xXAF937FWXVyc/ts
HGTV,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMYSyL5C0k5LgWkGs0D5WENc/ts
幸福居家,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMYn8ZdWRp4a2qgUUjxWS5RU/ts

音乐Music,#genre#
纸短情长,https://vdse.bdstatic.com//e214194bf6de7f598b9873619b691fa6.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-01-31T13%3A26%3A53Z%2F-1%2Fhost
下山,https://vdse.bdstatic.com/e2d35750d461a6d524080c7a3c4cb7a4.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
杀阡陌,https://vdse.bdstatic.com/17014878933308f5eb81b2a9d98783d8.mp4?authorization=bce-auth-v1%2Ffb297a5cc0fb434c971b8fa103e8dd7b%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
只问你肯不肯,https://vdse.bdstatic.com/d4463cd83c0c47fba7ce65c71ad94bbb.mp4?authorization=bce-auth-v1%2Ffb297a5cc0fb434c971b8fa103e8dd7b%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
如梦令,https://vdse.bdstatic.com/20e606730cb53b91bd4a4d2b0323e563.mp4?authorization=bce-auth-v1%2Ffb297a5cc0fb434c971b8fa103e8dd7b%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
孤芳自赏,https://vdse.bdstatic.com//650fda26067e619a8632b173052b3a08.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-01-31T14%3A25%3A59Z%2F-1%2Fhost
风筝误,https://vdse.bdstatic.com/c331feb0b4730b05d03793ffc024e62a.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
你的答案,https://vdse.bdstatic.com/363480020aaa13240bbe51121d3e2a65.mp4?authorization=bce-auth-v1%2Ffb297a5cc0fb434c971b8fa103e8dd7b%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
你若三冬,https://vdse.bdstatic.com/865b4e81a729189fcafe910104151a75.mp4?authorization=bce-auth-v1%2Ffb297a5cc0fb434c971b8fa103e8dd7b%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
《天路》《驼铃》《鸿雁》《九儿》《绒花》《小芳》[1920*1080],https://vdse.bdstatic.com//e4b7325ebf3010673a51a24f948a8a97.mp4
《驼铃》《卓玛》《天边》《鸿雁》《天路》草原歌曲[1920*1080],https://vdse.bdstatic.com//f8f4740a4ca7ff31c3a2d8386fc14598.mp4
毛宁《涛声依旧》《晚秋》《心雨》《春风吻上我的脸》《大中国》[1920*1080],https://vdse.bdstatic.com//21736d388636d7648510b2a36fc7cbfd.mp4
山歌《阿里山的姑娘》《康定情歌》《山路十八弯》《敖包相会》[1920*1080],https://vdse.bdstatic.com//ae82f5b93166f47d85ff12124a021323.mp4
《涛声依旧》《雾里看花》《窗外》《心雨》《听心》《晚秋》《母亲》[1920*1080],https://vdse.bdstatic.com//db8ba0fda2aad9cb15aa32887a160f06.mp4
刀郎经典老歌《手心里的温柔》《西海情歌》《披着羊皮的狼》HD[1280*720],https://vdse.bdstatic.com//2f53687e421524efba9ba2b528f7bd12.mp4
 粤语和华语经典歌曲【完整版】,https://vdse.bdstatic.com//2922763f303705ef65c46689578439ea.mp4
 《给我一把爱情火》《无情风雨无情的你》《昨夜的我又梦到了你》HD,https://vdse.bdstatic.com//63a770491e7bae0ebe661452c27eaf33.mp4
经典粤语歌曲《上海滩》《铁血丹心》《神情神话》《沧海一声笑》HD,https://vdse.bdstatic.com//f9cda7e70273c267b61a3d0c969d2033.mp4
DJ音乐31,https://vdse.bdstatic.com//01b1f78bb5b009d36ce3f5051e7383c1.mp4
DJ音乐37,https://vdse.bdstatic.com//fbbd25c517d1ba56b3ecbfb16c27d7e9.mp4
DJ音乐39,https://vdse.bdstatic.com//cdc81b17fdaf07c73eb464fd55d52491.mp4
DJ音乐51,https://vdse.bdstatic.com//f1aee7ea7f31afbe48e891783d8ba819.mp4
DJ音乐52,https://vdse.bdstatic.com//195039d170345f5e627e4a58814cbf30.mp4
 DJ 洗脑神曲,https://vdse.bdstatic.com//bf4bb1d82b2eb17681c49e745dc2da21.mp4
车载DJ舞曲,https://vdse.bdstatic.com//7002925e04c4c451cfa8aafc9b4190c7.mp4
最佳伤感情歌,https://vdse.bdstatic.com//59c5abc138bf1da5585bb765c530137e.mp4
2021伤感洗脑神曲,https://vdse.bdstatic.com//8ad29ca92a901b9992431cf0c5266101.mp4
 2021最好听情歌HD[1280*720],https://vdse.bdstatic.com//e668900af1d683c1f8762c1184d516d3.mp4
2021年最好听的DJ串烧,https://vdse.bdstatic.com//cd396057d1fbcb12f0600d38a16effbc.mp4
 2021年最火伤感音乐,https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
2021热门伤感DJ,https://vdse.bdstatic.com//06b4e9b185b843e694e4d20e9b0a0aac.mp4
几首比较火的DJ情歌,https://vdse.bdstatic.com//4d7e8fe409b2ba9e08b179de8e146fa3.mp4
串烧DJ,https://vdse.bdstatic.com//0da62389c4eb7668570f9d0c78eedfee.mp4
音乐520[1920*1080],https://vdse.bdstatic.com//7b2f1b020851df0037ed7b5013a8887d.mp4
 
DJ[1280*720],https://vdse.bdstatic.com//89125075c8eff065022858f7ab9f45ac.mp4
网络金曲,https://vdse.bdstatic.com//c2deba4d320384736569e542ac531aff.mp4
情歌DJ,https://vdse.bdstatic.com//4eece717c6cc2fb9086a59a13ce30623.mp4
车载DJ视频6,https://vdse.bdstatic.com//7e9d2da860d4ac39c0ea86502360d6fe.mp4
 车载DJ《今夜为你醉...》,https://vdse.bdstatic.com//b68123a666cce39e7413da912e3675a3.mp4
抖音热歌《大风吹+夜夜夜漫长》,https://vdse.bdstatic.com//13da18e12728e9d7849f6589a3070b4c.mp4
《爱难求情难断…》,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
【老歌DJ版】《精选8首》,https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
2021《精选5首酒吧DJ舞曲》,https://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4
好歌分享《精选6首伤感DJ舞曲》HD[1280*720],https://vdse.bdstatic.com//0c87c8977d0a33498fe7362d3c60c22c.mp4
《拈花一笑》《对面的小姐姐》,https://vdse.bdstatic.com//7cfaf27a4db89583e069a40fbc2ed84b.mp4
 情歌DJ《怎么可以如此冷血》,https://vdse.bdstatic.com//61e318ea76e984f2bedb66f1ed1583be.mp4
DJ情歌串烧《痴情恋歌》,https://vdse.bdstatic.com//904548e7bec804905906557ed2752017.mp4
 动听DJ情歌《红颜知己》,https://vdse.bdstatic.com//92d49c2aebc0bbbe08149b8e08e4a443.mp4
DJ伤感好听《红颜知己,https://vdse.bdstatic.com//1a7b05ab4eab2d68a679e442f4d80fab.mp4
 DJ舞曲,https://vdse.bdstatic.com//1fc9fd16e02ca272bb81666b85bf4135.mp4
刀郎经典歌曲,https://vdse.bdstatic.com//36ea0ffcf8156a44b9d524d999eb088a.mp4
刀郎经典歌曲精选,https://vdse.bdstatic.com//4fcca19a19aa4974230c5ee70ab5fa55.mp4
 刀郎经典老歌合集披着羊皮的狼》西海情歌》冲动的惩罚》HD,https://vdse.bdstatic.com//bfbb0871ed01eb3328497faae6a8531b.mp4
邓丽君歌曲精选九首经典歌曲,https://vdse.bdstatic.com//432792ba00998e73655101c9e706e1e2.mp4
怀旧金曲:刀郎黄玫瑰,https://vdse.bdstatic.com//893331fdfab5d04e5c93e2adbbf1e949.mp4
几首绝美情歌DJ精选,https://vdse.bdstatic.com//c5c64b60c9fdfbdfa3e959bb1d56c4b0.mp4
精选韩宝仪经典歌曲10首,https://vdse.bdstatic.com//42d5ac65a9070eeab2513bf6bc65ea4d.mp4
林翠萍负心的你,https://vdse.bdstatic.com//16425f9f93e382e23bcde71f8ed85a4c.mp4
林翠萍麦搁來这套》HD,https://vdse.bdstatic.com//5b388a47b1233105831e09b8cadc1edd.mp4
林翠萍经典老歌相会在梦里,https://vdse.bdstatic.com//00fb72cd0b27bec6d9c0cd915874b50e.mp4
林翠萍经典情歌相思豆,https://vdse.bdstatic.com//986498bb0ccd2114ba1274df22fae332.mp4
龙飘飘我没醉,https://vdse.bdstatic.com//3d48e45e47836cd75c202ec957260837.mp4
美酒加咖啡龙飘飘,https://vdse.bdstatic.com//816c73543ede254586a625cacc67ea0f.mp4
情歌皇后林翠萍相见不如不见,https://vdse.bdstatic.com//1f65ad884619a069c68572f1ac9e2b0e.mp4
云朵、刀郎、孙露、张雨生等经典怀旧歌曲6首HD,https://vdse.bdstatic.com//fa0ed7ad8657cc4d13972c3d9aa5ddbf.mp4
大立电视台闽南歌曲,https://vd2.bdstatic.com/mda-migxsn623v5r79c9/720p/h264/1631917637972867576/mda-migxsn623v5r79c9.mp4
翻唱闽南歌曲 认份,https://vd2.bdstatic.com/mda-kcki0ba6ykzh683i/sc/mda-kcki0ba6ykzh683i.mp4
翻唱闽南歌曲 今生一段情,https://vd3.bdstatic.com/mda-mhgvnyaj4qxpbvvy/720p/h264/1629233898591836788/mda-mhgvnyaj4qxpbvvy.mp4
翻唱闽南歌曲 被情所困,https://vd3.bdstatic.com/mda-kfv7s0d2e3izvez3/v1-cae/sc/mda-kfv7s0d2e3izvez3.mp4
翻唱闽南歌曲 感情有靠岸,https://vd3.bdstatic.com/mda-khqvm1hwdfg1tehr/v1-cae/sc/mda-khqvm1hwdfg1tehr.mp4
DJ《等爱》,https://vd2.bdstatic.com/mda-mfhh1e0hwq212rrt/sc/h264/1623988905898256147/mda-mfhh1e0hwq212rrt.mp4
DJ《醉过多少回》,https://vd4.bdstatic.com/mda-megp46e98a4f2b9g/sc/h264/1621239560364992817/mda-megp46e98a4f2b9g.mp4
忘记你需要多久(DJ小鱼儿版),https://vd2.bdstatic.com/mda-mc1sm1r5s9azchjv/v1-cae/1080p/mda-mc1sm1r5s9azchjv.mp4
花都开了你来不来DJ,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4
精选dj,https://vd3.bdstatic.com/mda-mm68drt808w1nins/720p/h264/1638861890075163680/mda-mm68drt808w1nins.mp4
dj舞曲交流,https://vd2.bdstatic.com/mda-majhhns1q3ggkdi6/v1-cae/sc/mda-majhhns1q3ggkdi6.mp4
龙飘飘《往事》,https://vdse.bdstatic.com//a28e362e15fa8c361219944bfb59b596.mp4
降央卓玛：这几首歌曲太动听,https://vdse.bdstatic.com//0ce1279c88ff9ab48f48d4e86860cd46.mp4
宇宁《千里江山（大型纪录片《紫禁城》主题歌,https://vdse.bdstatic.com//688046e42c39cf6585106f945e2798e7.mov
邓紫棋,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg197E4gUozOqwrwU.mp4
大话西游,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgk9aq4gUogIDbxwQ.mp4
4分钟 - 为什么,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgo7v64wUovvXL6QQ.mp4
LUNA - 即便如此,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgxfG98AUogN6hqgU.mp4
Bob Girls - No way,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3Lqw4gUoo6LL7QU.mp4
2NE1-（失踪的你）,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyee74wUowp6c1gU.mp4
EXID - L.I.E,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2abB4gUohpLdxAQ.mp4
Geo Da SilvaJ,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg5avW4gUo47zhvwU.mp4
Kantik - Orfelogy,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAggq-W4gUouLym-QQ.mp4
我用自己的方式爱你,http://vdown.kuwo.cn:80/resource/t1/46/26af4a23c9e04725bd1dc491b662f386.mp4
林翠萍的《我太傻》,https://vd2.bdstatic.com/mda-mb5qq1ic4yvekk6r/v2-hknm/sc/mda-mb5qq1ic4yvekk6r.mp4
徐佳莹-旅行的意义(演唱会),http://em.21dtv.com/songs/60076514.mkv
旭日阳刚-老乡见老乡,http://em.21dtv.com/songs/60076356.mkv
朱咪咪+叶振棠-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60027329.mkv
朱咪咪-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60027330.mkv
尹光+吕有慧-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60061366.mkv
林子祥+谢安琪-俩忘烟水里(演唱会),http://em.21dtv.com/songs/60076405.mkv
罗敏庄+黄日华-两忘烟水里(演唱会),http://em.21dtv.com/songs/60076435.mkv
