[VIP] 非洲AF,#genre#
AF: CANAL+ SPORT 1 [Live During Events Only],http://ktpremium.shop:2095/RY217/1930/1008152
AF: canal+ sport 2 [Live During Events Only],http://ktpremium.shop:2095/RY217/1930/1008153
AF: CANAL+ SPORT 3 [Live During Events Only],http://ktpremium.shop:2095/RY217/1930/1008154
AF: CANAL+ SPORT 4 [Live During Events Only],http://ktpremium.shop:2095/RY217/1930/1008155
AF: CANAL+ SPORT 5 [Live During Events Only],http://ktpremium.shop:2095/RY217/1930/1008156
AF: CANAL+ TOP 14,http://ktpremium.shop:2095/RY217/1930/1008157
AF: CARTOON NETWORK,http://ktpremium.shop:2095/RY217/1930/1008158
AF: CBEEBIES,http://ktpremium.shop:2095/RY217/1930/1008159
AF: CBS REALITY,http://ktpremium.shop:2095/RY217/1930/1008160
AF: CGTN NEWS,http://ktpremium.shop:2095/RY217/1930/1008162
AF: CHANNELS 24 TV,http://ktpremium.shop:2095/RY217/1930/1008163
AF: CHERIFLA TV,http://ktpremium.shop:2095/RY217/1930/1008164
AF: CNBC AFRICA,http://ktpremium.shop:2095/RY217/1930/1008166
AF: COMEDY CENTRAL,http://ktpremium.shop:2095/RY217/1930/1008167
AF: CONGO TV,http://ktpremium.shop:2095/RY217/1930/1008168
AF: CRIME DISTRICT,http://ktpremium.shop:2095/RY217/1930/1008169
AF: CRTV NEWS,http://ktpremium.shop:2095/RY217/1930/1008171
AF: CSTAR,http://ktpremium.shop:2095/RY217/1930/1008172
AF: DAYSTAR,http://ktpremium.shop:2095/RY217/1930/1008173
AF: DBM TV,http://ktpremium.shop:2095/RY217/1930/1008174
AF: DEUTSCHE WELLE,http://ktpremium.shop:2095/RY217/1930/1008175
AF: DISCOVERY CHANNEL,http://ktpremium.shop:2095/RY217/1930/1008176
AF: DISCOVERY FAMILY,http://ktpremium.shop:2095/RY217/1930/1008177
AF: DISNEY CHANNEL,http://ktpremium.shop:2095/RY217/1930/1008178
AF: DISNEY JUNIOR,http://ktpremium.shop:2095/RY217/1930/1008179
AF: DOVE TV,http://ktpremium.shop:2095/RY217/1930/1008180
AF: DSTV One Gospel,http://ktpremium.shop:2095/RY217/1930/1008181
AF: DUMISA,http://ktpremium.shop:2095/RY217/1930/1008182
AF: E! Entertainment,http://ktpremium.shop:2095/RY217/1930/1008183
AF: E TV AFRICA,http://ktpremium.shop:2095/RY217/1930/1008184
AF: E! ENTERTAINMENT TV,http://ktpremium.shop:2095/RY217/1930/1008185
AF: PBS Kids,http://ktpremium.shop:2095/RY217/1930/1008186
AF: EMMANUEL TV,http://ktpremium.shop:2095/RY217/1930/1008187
AF: ENCA,http://ktpremium.shop:2095/RY217/1930/1008188
AF: E TV,http://ktpremium.shop:2095/RY217/1930/1008189
AF: ERI TV,http://ktpremium.shop:2095/RY217/1930/1008190
AF: ES1,http://ktpremium.shop:2095/RY217/1930/1008191
AF: ESPACE TV,http://ktpremium.shop:2095/RY217/1930/1008192
AF: ETV,http://ktpremium.shop:2095/RY217/1930/1008193
AF: eTV Extra,http://ktpremium.shop:2095/RY217/1930/1008194
AF: EURONEWS,http://ktpremium.shop:2095/RY217/1930/1008195
AF: EUROSPORT 1 [Live During Events Only],http://ktpremium.shop:2095/RY217/1930/1008196
AF: EUROSPORT 2 [Live During Events Only],http://ktpremium.shop:2095/RY217/1930/1008197
AF: FOOD NETWORK,http://ktpremium.shop:2095/RY217/1930/1008199
AF: FRANCE 24,http://ktpremium.shop:2095/RY217/1930/1008200
AF: GAME ONE,http://ktpremium.shop:2095/RY217/1930/1008201
AF: GAU TV,http://ktpremium.shop:2095/RY217/1930/1008202
AF: GHANA TV,http://ktpremium.shop:2095/RY217/1930/1008203
AF: GTV,http://ktpremium.shop:2095/RY217/1930/1008205
AF: GULLI,http://ktpremium.shop:2095/RY217/1930/1008206
AF: HGTV,http://ktpremium.shop:2095/RY217/1930/1008207
AF: IBN TV,http://ktpremium.shop:2095/RY217/1930/1008208
AF: IGNITION,http://ktpremium.shop:2095/RY217/1930/1008209
AF: IMPACT TV,http://ktpremium.shop:2095/RY217/1930/1008210
AF: INOORO TV,http://ktpremium.shop:2095/RY217/1930/1008211
AF: INVESTIGATION DISCOVERY,http://ktpremium.shop:2095/RY217/1930/1008212
AF: J ONE,http://ktpremium.shop:2095/RY217/1930/1008213
AF: JOY NEWS,http://ktpremium.shop:2095/RY217/1930/1008214
AF: JOY PRIME,http://ktpremium.shop:2095/RY217/1930/1008215
AF: K24,http://ktpremium.shop:2095/RY217/1930/1008216
AF: KYKNET,http://ktpremium.shop:2095/RY217/1930/1008217
AF: KYKNET & KIE,http://ktpremium.shop:2095/RY217/1930/1008218
AF: KYKNET NOU!,http://ktpremium.shop:2095/RY217/1930/1008219
AF: LCI,http://ktpremium.shop:2095/RY217/1930/1008220
AF: LUDIKIDS,http://ktpremium.shop:2095/RY217/1930/1008221
AF: M-NET,http://ktpremium.shop:2095/RY217/1930/1008222
AF: M-Net Movies 1,http://ktpremium.shop:2095/RY217/1930/1008223
AF: M-NET MOVIES 2,http://ktpremium.shop:2095/RY217/1930/1008224
AF: M-Net Movies 3,http://ktpremium.shop:2095/RY217/1930/1008225
AF: M-NET MOVIES 4,http://ktpremium.shop:2095/RY217/1930/1008226
AF: MANGAS,http://ktpremium.shop:2095/RY217/1930/1008227
AF: MELODY,http://ktpremium.shop:2095/RY217/1930/1008228
AF: MEZZO,http://ktpremium.shop:2095/RY217/1930/1008229
AF: MINDSET,http://ktpremium.shop:2095/RY217/1930/1008230
AF: MOURIDE TV,http://ktpremium.shop:2095/RY217/1930/1008231
AF: MTV,http://ktpremium.shop:2095/RY217/1930/1008232
AF: MTV BASE,http://ktpremium.shop:2095/RY217/1930/1008233
AF: MTV HITS,http://ktpremium.shop:2095/RY217/1930/1008234
AF: MTV MUSIC 24,http://ktpremium.shop:2095/RY217/1930/1008235
AF: MUSEUM TV,http://ktpremium.shop:2095/RY217/1930/1008236
AF: MZANSI Magic,http://ktpremium.shop:2095/RY217/1930/1008237
AF: MZANSI MAGIC,http://ktpremium.shop:2095/RY217/1930/1008238
AF: MZANSI WETHU,http://ktpremium.shop:2095/RY217/1930/1008239
AF: NAT GEO,http://ktpremium.shop:2095/RY217/1930/1008240
AF: NAT GEO WILD,http://ktpremium.shop:2095/RY217/1930/1008241
AF: NAT GEO Wild Africa,http://ktpremium.shop:2095/RY217/1930/1008242
AF: NDTV 24/7,http://ktpremium.shop:2095/RY217/1930/1008243
AF: NICK JR,http://ktpremium.shop:2095/RY217/1930/1008244
AF: Nickelodeon,http://ktpremium.shop:2095/RY217/1930/1008245
AF: NICKELODEON FR,http://ktpremium.shop:2095/RY217/1930/1008246
AF: NICKTOONS,http://ktpremium.shop:2095/RY217/1930/1008247
AF: NOLLYWOOD EPIC,http://ktpremium.shop:2095/RY217/1930/1008248
AF: NOLLYWOOD TV,http://ktpremium.shop:2095/RY217/1930/1008249
AF: NOVELAS TV,http://ktpremium.shop:2095/RY217/1930/1008250
AF: NTV KENYA,http://ktpremium.shop:2095/RY217/1930/1008251
AF: ORTB,http://ktpremium.shop:2095/RY217/1930/1008252
AF: ORTM,http://ktpremium.shop:2095/RY217/1930/1008253
AF: PARLIAMENTARY SERVICE,http://ktpremium.shop:2095/RY217/1930/1008254
AF: PBS KIDS,http://ktpremium.shop:2095/RY217/1930/1008255
AF: PIWI,http://ktpremium.shop:2095/RY217/1930/1008256
AF: PIWI+,http://ktpremium.shop:2095/RY217/1930/1008257
AF: PLANETE +,http://ktpremium.shop:2095/RY217/1930/1008258
AF: PLANETE A&E,http://ktpremium.shop:2095/RY217/1930/1008259
AF: PLAY TV,http://ktpremium.shop:2095/RY217/1930/1008260
AF: RAI ITALIA,http://ktpremium.shop:2095/RY217/1930/1008261
AF: RAVE TV,http://ktpremium.shop:2095/RY217/1930/1008262
AF: REAL TIME,http://ktpremium.shop:2095/RY217/1930/1008263
AF:  TVGE,http://ktpremium.shop:2095/RY217/1930/1008264
AF: ROK TV,http://ktpremium.shop:2095/RY217/1930/1008265
AF: RTB TV (FR),http://ktpremium.shop:2095/RY217/1930/1008266
AF: RTG,http://ktpremium.shop:2095/RY217/1930/1008267
AF: RTI 1,http://ktpremium.shop:2095/RY217/1930/1008268
AF: RTI 2,http://ktpremium.shop:2095/RY217/1930/1008269
AF: RTNC,http://ktpremium.shop:2095/RY217/1930/1008270
AF: RTP INTERNACIONAL,http://ktpremium.shop:2095/RY217/1930/1008271
AF: RTS 1,http://ktpremium.shop:2095/RY217/1930/1008272
AF: RTS 2,http://ktpremium.shop:2095/RY217/1930/1008273
AF: RTV,http://ktpremium.shop:2095/RY217/1930/1008274
AF: RTV RWANDA,http://ktpremium.shop:2095/RY217/1930/1008275
AF: SABC 1,http://ktpremium.shop:2095/RY217/1930/1008276
AF: SABC 2,http://ktpremium.shop:2095/RY217/1930/1008277
AF: SABC 3,http://ktpremium.shop:2095/RY217/1930/1008278
AF: SABC NEWS,http://ktpremium.shop:2095/RY217/1930/1008279
AF: SEN TV,http://ktpremium.shop:2095/RY217/1930/1008280
AF: SERIE CLUB,http://ktpremium.shop:2095/RY217/1930/1008281
AF: SKY NEWS,http://ktpremium.shop:2095/RY217/1930/1008282
AF: Sntv Somalie,http://ktpremium.shop:2095/RY217/1930/1008283
AF: SOMALI CABLE,http://ktpremium.shop:2095/RY217/1930/1008284
AF: SOMALIA KALSAN,http://ktpremium.shop:2095/RY217/1930/1008285
AF: Somalia National,http://ktpremium.shop:2095/RY217/1930/1008286
AF: SOMALIA SBC,http://ktpremium.shop:2095/RY217/1930/1008287
AF: SOWETO TV,http://ktpremium.shop:2095/RY217/1930/1008288
AF: SPICE TV,http://ktpremium.shop:2095/RY217/1930/1008289
AF: STAR LIFE,http://ktpremium.shop:2095/RY217/1930/1008290
AF: STAR TV,http://ktpremium.shop:2095/RY217/1930/1008291
AF: STV,http://ktpremium.shop:2095/RY217/1930/1008292
AF: TELE 50,http://ktpremium.shop:2095/RY217/1930/1008293
AF: TELE CONGO,http://ktpremium.shop:2095/RY217/1930/1008294
AF: TELE SAHEL,http://ktpremium.shop:2095/RY217/1930/1008295
AF: TCHAD,http://ktpremium.shop:2095/RY217/1930/1008296
AF: TF1 SERIES FILMS,http://ktpremium.shop:2095/RY217/1930/1008297
AF: TFX,http://ktpremium.shop:2095/RY217/1930/1008298
AF: THE HOME CHANNEL,http://ktpremium.shop:2095/RY217/1930/1008299
AF: TIJI,http://ktpremium.shop:2095/RY217/1930/1008300
AF: TLC,http://ktpremium.shop:2095/RY217/1930/1008301
AF: TMC,http://ktpremium.shop:2095/RY217/1930/1008302
AF: TNT AFRICA,http://ktpremium.shop:2095/RY217/1930/1008303
AF: TOONAMI,http://ktpremium.shop:2095/RY217/1930/1008304
AF: TOUBA TV,http://ktpremium.shop:2095/RY217/1930/1008305
AF: TOUTE L HISTOIRE,http://ktpremium.shop:2095/RY217/1930/1008306
AF: TPA,http://ktpremium.shop:2095/RY217/1930/1008307
AF: TRACE AFRICA,http://ktpremium.shop:2095/RY217/1930/1008308
AF: TRACE GOSPEL,http://ktpremium.shop:2095/RY217/1930/1008309
AF: TRACE KITOKO,http://ktpremium.shop:2095/RY217/1930/1008310
AF: TRACE LATINA,http://ktpremium.shop:2095/RY217/1930/1008311
AF: Trace Mizki,http://ktpremium.shop:2095/RY217/1930/1008312
AF: TRACE NAIJA,http://ktpremium.shop:2095/RY217/1930/1008313
AF: TRACE TOCA,http://ktpremium.shop:2095/RY217/1930/1008314
AF: TRACE URBAN SOUTH AFRICA,http://ktpremium.shop:2095/RY217/1930/1008315
AF: TRACE URBAN TV,http://ktpremium.shop:2095/RY217/1930/1008316
AF: Travel Channel,http://ktpremium.shop:2095/RY217/1930/1008317
AF: TREK,http://ktpremium.shop:2095/RY217/1930/1008318
AF: TSHWANE TV,http://ktpremium.shop:2095/RY217/1930/1008319
AF: TV 3,http://ktpremium.shop:2095/RY217/1930/1008320
AF: TV FRANCOPHONIE 24,http://ktpremium.shop:2095/RY217/1930/1008321
AF: TV TCHAD,http://ktpremium.shop:2095/RY217/1930/1008322
AF: TV1,http://ktpremium.shop:2095/RY217/1930/1008323
AF: TV5 MONDE,http://ktpremium.shop:2095/RY217/1930/1008324
AF: TV5 Monde Afrique,http://ktpremium.shop:2095/RY217/1930/1008325
AF: TV5 MONDE EUROPE,http://ktpremium.shop:2095/RY217/1930/1008326
AF: TV7 COLMAR,http://ktpremium.shop:2095/RY217/1930/1008327
AF: TVC,http://ktpremium.shop:2095/RY217/1930/1008328
AF: TVC NEWS NIGERIA,http://ktpremium.shop:2095/RY217/1930/1008329
AF: TVT,http://ktpremium.shop:2095/RY217/1930/1008330
AF: TVT TOGO,http://ktpremium.shop:2095/RY217/1930/1008331
AF: Vision 4,http://ktpremium.shop:2095/RY217/1930/1008332
AF: Vox Africa,http://ktpremium.shop:2095/RY217/1930/1008333
AF: WALF TV,http://ktpremium.shop:2095/RY217/1930/1008334
AF: WWE CHANNEL,http://ktpremium.shop:2095/RY217/1930/1008335

[VIP] 马来西亚MY,#genre#
[MY] Scream,http://ktpremium.shop:2095/RY217/1930/1022746
[MY] TV1,http://ktpremium.shop:2095/RY217/1930/25808
[MY] TV1 (B),http://ktpremium.shop:2095/RY217/1930/912825
[MY] TV2,http://ktpremium.shop:2095/RY217/1930/25809
[MY] TV2 (direct source),http://ktpremium.shop:2095/RY217/1930/912826
[MY] TV3,http://ktpremium.shop:2095/RY217/1930/25810
[MY] TV3 (A),http://ktpremium.shop:2095/RY217/1930/912827
[MY] TV3 (B),http://ktpremium.shop:2095/RY217/1930/912828
[MY] TV3 (C),http://ktpremium.shop:2095/RY217/1930/694449
[MY] NTV7,http://ktpremium.shop:2095/RY217/1930/25811
[MY] NTV7 (B),http://ktpremium.shop:2095/RY217/1930/912829
[MY] 8TV,http://ktpremium.shop:2095/RY217/1930/25812
[MY] 8TV (B),http://ktpremium.shop:2095/RY217/1930/912830
[MY] TV9,http://ktpremium.shop:2095/RY217/1930/25813
[MY] TV9 (B),http://ktpremium.shop:2095/RY217/1930/912831
[MY] Enjoy TV5(test),http://ktpremium.shop:2095/RY217/1930/25828
[MY] Dunia Cinema,http://ktpremium.shop:2095/RY217/1930/999746
[MY] Siar,http://ktpremium.shop:2095/RY217/1930/916394
[MY] Inspirasi,http://ktpremium.shop:2095/RY217/1930/1019162
[MY] Degup,http://ktpremium.shop:2095/RY217/1930/1019163
[MY] TVS,http://ktpremium.shop:2095/RY217/1930/656643
[MY] TV IKIM,http://ktpremium.shop:2095/RY217/1930/656644
[MY] OKEY TV,http://ktpremium.shop:2095/RY217/1930/656682
[MY] OKEY TV (direct source),http://ktpremium.shop:2095/RY217/1930/25875
[MY] Berita RTM,http://ktpremium.shop:2095/RY217/1930/900904
[MY] TV6,http://ktpremium.shop:2095/RY217/1930/900905
[MY] Drama Hebat,http://ktpremium.shop:2095/RY217/1930/1025978
[MY] Filem Mantap,http://ktpremium.shop:2095/RY217/1930/1025979
[MY] Lawak Sentral,http://ktpremium.shop:2095/RY217/1930/1025980
[MY] Drama HotPot,http://ktpremium.shop:2095/RY217/1930/1025981
[MY] Oh My Ceria,http://ktpremium.shop:2095/RY217/1930/1025982
[MY] Jom Ngaji,http://ktpremium.shop:2095/RY217/1930/1025983
[SG] Channel 5,http://ktpremium.shop:2095/RY217/1930/25833
[SG] Channel 8,http://ktpremium.shop:2095/RY217/1930/25834
[SG] Channel U,http://ktpremium.shop:2095/RY217/1930/25835
[SG] CNA,http://ktpremium.shop:2095/RY217/1930/25837
[SG] Suria,http://ktpremium.shop:2095/RY217/1930/25844
[SG] Vasantham,http://ktpremium.shop:2095/RY217/1930/25848
[MY] ASTRO Citra,http://ktpremium.shop:2095/RY217/1930/25852
[MY] ASTRO Citra (B),http://ktpremium.shop:2095/RY217/1930/913177
[MY] ASTRO RIA HD,http://ktpremium.shop:2095/RY217/1930/25855
[MY] ASTRO RIA HD (B),http://ktpremium.shop:2095/RY217/1930/912833
[MY] ASTRO PRIMA HD,http://ktpremium.shop:2095/RY217/1930/25862
[MY] ASTRO OASIS HD,http://ktpremium.shop:2095/RY217/1930/25864
[MY] ASTRO OASIS HD (B),http://ktpremium.shop:2095/RY217/1930/912835
[MY] Astro Rania HD,http://ktpremium.shop:2095/RY217/1930/908356
[MY] Astro Aura HD,http://ktpremium.shop:2095/RY217/1930/908357
[MY] TV ALHIJRAH,http://ktpremium.shop:2095/RY217/1930/25906
[MY] COLORS HD,http://ktpremium.shop:2095/RY217/1930/25928
[MY] Astro Vaanavil,http://ktpremium.shop:2095/RY217/1930/25959
[MY] Astro Vinmeen,http://ktpremium.shop:2095/RY217/1930/1012902
[MY] Astro Vellithirai,http://ktpremium.shop:2095/RY217/1930/918423
[MY] Sun TV,http://ktpremium.shop:2095/RY217/1930/911358
[MY] SUN MUSIC,http://ktpremium.shop:2095/RY217/1930/25933
[MY] Adithya,http://ktpremium.shop:2095/RY217/1930/905517
[MY] Sun news,http://ktpremium.shop:2095/RY217/1930/911013
[MY] KTV,http://ktpremium.shop:2095/RY217/1930/511756
[MY] Sun Life,http://ktpremium.shop:2095/RY217/1930/25934
[MY] ASTRO Star Vijay HD,http://ktpremium.shop:2095/RY217/1930/25944
[MY] ASTRO Star Vijay HD (B),http://ktpremium.shop:2095/RY217/1930/912838
[MY] COLORS TAMIL,http://ktpremium.shop:2095/RY217/1930/25947
[MY] ZEE Tamil HD,http://ktpremium.shop:2095/RY217/1930/25949
[MY] ABO Movies Thangathirai,http://ktpremium.shop:2095/RY217/1930/1012903
h_294,c_scale,f_webp,q_auto:eco/resources/0-9-zeecinema/channel_list/1170x658withlogo807278654.png" group-title="[VIP] MALAYSIA",[MY] Zee Cinema HD,http://ktpremium.shop:2095/RY217/1930/911366
[MY] Now Jelli HD,http://ktpremium.shop:2095/RY217/1930/1018038
[MY] 爱奇艺 iQiyi,http://ktpremium.shop:2095/RY217/1930/25961
[MY] 爱奇艺 iQiyi (B),http://ktpremium.shop:2095/RY217/1930/912840
[MY] AEC HD,http://ktpremium.shop:2095/RY217/1930/25968
[MY] AEC HD(B),http://ktpremium.shop:2095/RY217/1930/916396
[MY] Astro QJ,http://ktpremium.shop:2095/RY217/1930/25970
[MY] 翡翠华丽台,http://ktpremium.shop:2095/RY217/1930/25972
[MY] 翡翠华丽台 (B),http://ktpremium.shop:2095/RY217/1930/912845
[MY] Astro AOD,http://ktpremium.shop:2095/RY217/1930/912839
[MY]  欢喜台,http://ktpremium.shop:2095/RY217/1930/25973
[MY]  欢喜台  (B),http://ktpremium.shop:2095/RY217/1930/912847
[MY] TVB 星河(粤语),http://ktpremium.shop:2095/RY217/1930/25977
[MY] TVB 星河 HD (中文),http://ktpremium.shop:2095/RY217/1930/912848
[MY] TVB 经典台,http://ktpremium.shop:2095/RY217/1930/25979
[MY] TVB 经典台 (B),http://ktpremium.shop:2095/RY217/1930/912849
[MY] TVB Entertainment News HD,http://ktpremium.shop:2095/RY217/1930/918425
[MY] 天映频道 HD,http://ktpremium.shop:2095/RY217/1930/25981
[MY] 天映经典,http://ktpremium.shop:2095/RY217/1930/25982
[MY] Phoenix Chinese Channel HD,http://ktpremium.shop:2095/RY217/1930/25984
[MY] Phoenix Info News HD,http://ktpremium.shop:2095/RY217/1930/25985
[MY] TVBS ASIA HD,http://ktpremium.shop:2095/RY217/1930/25986
[MY] 中天亚洲,http://ktpremium.shop:2095/RY217/1930/25987
[MY] Hits Now,http://ktpremium.shop:2095/RY217/1930/25990
[MY] tvN HD,http://ktpremium.shop:2095/RY217/1930/26001
[MY] tvN Movies,http://ktpremium.shop:2095/RY217/1930/26003
[MY] KBS World HD,http://ktpremium.shop:2095/RY217/1930/26006
[MY] One HD,http://ktpremium.shop:2095/RY217/1930/26009
[MY] One HD(BM DUB),http://ktpremium.shop:2095/RY217/1930/1025228
[MY] Astro BOO,http://ktpremium.shop:2095/RY217/1930/26011
[MY] K-plus,http://ktpremium.shop:2095/RY217/1930/26029
[MY] HBO HD,http://ktpremium.shop:2095/RY217/1930/916397
[MY] HBO HD(sub),http://ktpremium.shop:2095/RY217/1930/26076
[MY] HBO Hits,http://ktpremium.shop:2095/RY217/1930/916401
[MY] HBO Hits (sub),http://ktpremium.shop:2095/RY217/1930/26077
[MY] HBO Signature (sub),http://ktpremium.shop:2095/RY217/1930/26080
[MY] HBO Family,http://ktpremium.shop:2095/RY217/1930/916400
[MY] HBO Family (sub),http://ktpremium.shop:2095/RY217/1930/656642
[MY] Thrill,http://ktpremium.shop:2095/RY217/1930/26094
[MY] WARNER TV,http://ktpremium.shop:2095/RY217/1930/26097
[MY] Hits Movies HD,http://ktpremium.shop:2095/RY217/1930/26102
[MY] Cinemax,http://ktpremium.shop:2095/RY217/1930/916398
[MY] Cinemax (sub),http://ktpremium.shop:2095/RY217/1930/901187
[MY] Astro Showcase,http://ktpremium.shop:2095/RY217/1930/916399
[MY] CINEMA WORLD,http://ktpremium.shop:2095/RY217/1930/901191
[MY] SKY NEWS HD,http://ktpremium.shop:2095/RY217/1930/26156
[MY] Euronews,http://ktpremium.shop:2095/RY217/1930/26158
[MY] ABC AUSTRALIA,http://ktpremium.shop:2095/RY217/1930/26160
[MY] DW HD,http://ktpremium.shop:2095/RY217/1930/26162
[MY] FRANCE24 HD,http://ktpremium.shop:2095/RY217/1930/26165
[MY] ASTRO Awani HD,http://ktpremium.shop:2095/RY217/1930/26167
[MY] ASTRO Awani HD(B),http://ktpremium.shop:2095/RY217/1930/913137
[MY] Bernama News,http://ktpremium.shop:2095/RY217/1930/26169
[MY] CNN HD,http://ktpremium.shop:2095/RY217/1930/26171
[MY] BBC News HD,http://ktpremium.shop:2095/RY217/1930/26174
[MY] Al-Jazzera HD,http://ktpremium.shop:2095/RY217/1930/26177
[MY] Bloomberg TV,http://ktpremium.shop:2095/RY217/1930/26179
[MY] CCTV4 HD,http://ktpremium.shop:2095/RY217/1930/26181
[MY] CGTN,http://ktpremium.shop:2095/RY217/1930/26192
[MY] CGTN Documentary,http://ktpremium.shop:2095/RY217/1930/694497
[MY] Arirang,http://ktpremium.shop:2095/RY217/1930/694473
[MY] KBS World,http://ktpremium.shop:2095/RY217/1930/870506
[MY] NHK World,http://ktpremium.shop:2095/RY217/1930/834387
[MY] CNBC Asia HD,http://ktpremium.shop:2095/RY217/1930/26195
[MY] Love Nature,http://ktpremium.shop:2095/RY217/1930/916402
[MY] Global Trekker,http://ktpremium.shop:2095/RY217/1930/916403
[MY] NatGeo HD,http://ktpremium.shop:2095/RY217/1930/26197
[MY] NatGeo Wild HD,http://ktpremium.shop:2095/RY217/1930/26205
[MY] Discovery HD,http://ktpremium.shop:2095/RY217/1930/26207
[MY] Discovery Asia,http://ktpremium.shop:2095/RY217/1930/26209
[MY] Animal Planet HD,http://ktpremium.shop:2095/RY217/1930/26211
[MY] History HD,http://ktpremium.shop:2095/RY217/1930/26213
[MY] ASTRO CERIA HD(BM dub),http://ktpremium.shop:2095/RY217/1930/26238
[MY] Ceria (english dub),http://ktpremium.shop:2095/RY217/1930/912821
[MY] Tutor TV,http://ktpremium.shop:2095/RY217/1930/912561
[MY] Blippi And Friends,http://ktpremium.shop:2095/RY217/1930/1012102
[MY] ANIMAX,http://ktpremium.shop:2095/RY217/1930/26240
[MY] ANIPLUS HD,http://ktpremium.shop:2095/RY217/1930/26242
[MY]  CBeebies,http://ktpremium.shop:2095/RY217/1930/26247
[MY] Moonbug Kids,http://ktpremium.shop:2095/RY217/1930/26200
[MY] CARTOON NTWK HD,http://ktpremium.shop:2095/RY217/1930/26273
[MY] NICKELODEON HD,http://ktpremium.shop:2095/RY217/1930/26275
[MY] NICK JR,http://ktpremium.shop:2095/RY217/1930/26276
[MY] Baby TV,http://ktpremium.shop:2095/RY217/1930/26277
[MY] AXN HD,http://ktpremium.shop:2095/RY217/1930/26282
[MY] HITS HD,http://ktpremium.shop:2095/RY217/1930/26284
[MY] TLC HD,http://ktpremium.shop:2095/RY217/1930/26285
[MY] FOOD NTWK HD,http://ktpremium.shop:2095/RY217/1930/26286
[MY] Asian Food Network,http://ktpremium.shop:2095/RY217/1930/916125
[MY] C&I HD,http://ktpremium.shop:2095/RY217/1930/26288
[MY] BBC Earth HD,http://ktpremium.shop:2095/RY217/1930/26290
[MY] BBC Lifestyle,http://ktpremium.shop:2095/RY217/1930/26291
[MY] HGTV HD,http://ktpremium.shop:2095/RY217/1930/26294
[MY] DMAX HD,http://ktpremium.shop:2095/RY217/1930/26296
[MY] COMEDY CENTRAL,http://ktpremium.shop:2095/RY217/1930/26297
[MY] MTV live,http://ktpremium.shop:2095/RY217/1930/26298
[MY] Rock Entertainment HD,http://ktpremium.shop:2095/RY217/1930/656633
[MY] Rock Action HD,http://ktpremium.shop:2095/RY217/1930/656639
[MY] LIFETIME,http://ktpremium.shop:2095/RY217/1930/656641
RTB sukmaindera,http://ktpremium.shop:2095/RY217/1930/897360
RTB GO,http://ktpremium.shop:2095/RY217/1930/897365
